,score,word
great,0.052712672733074256,great
place,0.04233481686500453,place
stay,0.04201329240969214,stay
seattle,0.03227672233838516,seattle
location,0.03181874929559401,location
clean,0.030579022846005763,clean
host,0.030093870393980076,host
apartment,0.02847587437421278,apartment
nice,0.02738708613529484,nice
comfortable,0.026855152326319614,comfortable
would,0.02651881854211405,would
house,0.025445714184915133,house
room,0.023798188840551536,room
everything,0.023179833719281666,everything
home,0.022602656863538056,home
easy,0.021994794974834624,easy
neighborhood,0.021527306397408453,neighborhood
time,0.020889467250923676,time
perfect,0.020807606763679768,perfect
recommend,0.019882706807705215,recommend
really,0.019860478967852854,really
definitely,0.019703322596427455,definitely
well,0.018368503182206897,well
downtown,0.017908740183514682,downtown
space,0.017199808756170734,space
wonderful,0.017167019978185805,wonderful
good,0.01625956575113538,good
experience,0.016182097325389545,experience
quiet,0.01615348171957849,quiet
close,0.015931093608455797,close
bed,0.015438943727893962,bed
helpful,0.015287433128058593,helpful
restaurant,0.015161110816943296,restaurant
made,0.015142845444152295,made
area,0.015092554564926093,area
staying,0.014864158047936182,staying
also,0.014802554884011302,also
friendly,0.01463886587746318,friendly
needed,0.014317988967026891,needed
beautiful,0.0142018139725768,beautiful
lovely,0.013673775012011072,lovely
get,0.013523170360577976,get
enjoyed,0.0134213984861235,enjoyed
walk,0.013197243681904542,walk
highly,0.012958873082306975,highly
super,0.012767805954191512,super
walking,0.012743152315100672,walking
even,0.012440537122082908,even
welcoming,0.012397428859577888,welcoming
cozy,0.012271184753670913,cozy
view,0.012187302037766117,view
thanks,0.012118734487423394,thanks
loved,0.012117470770874479,loved
back,0.012110996449991418,back
like,0.012101542676370316,like
need,0.012096332420141409,need
night,0.011884995951847097,night
ha,0.01186583542878443,ha
lot,0.011779355691447566,lot
convenient,0.011502606393380034,convenient
accommodating,0.011470621165621139,accommodating
bus,0.01144119949284635,bus
feel,0.01142332600944533,feel
check,0.011349576810545808,check
city,0.0113270802620488,city
one,0.011028118346890447,one
amazing,0.011015179642996368,amazing
day,0.010936038703275863,day
distance,0.010933279643806547,distance
little,0.01085292217153911,little
around,0.010676968734704312,around
much,0.010462642954327722,much
